year	state	pop
2020	Alabama	5024279
2020	Alaska	733391
2020	Arizona	7151502
2020	Arkansas	3011524
2020	California	39538223
2020	Colorado	5773714
2020	Connecticut	3605944
2020	Delaware	989948
2020	District of Columbia	689545
2020	Florida	21538187
2020	Georgia	10711908
2020	Hawaii	1455271
2020	Idaho	1839106
2020	Illinois	12812508
2020	Indiana	6785528
2020	Iowa	3190369
2020	Kansas	2937880
2020	Kentucky	4505836
2020	Louisiana	4657757
2020	Maine	1362359
2020	Maryland	6177224
2020	Massachusetts	7029917
2020	Michigan	10077331
2020	Minnesota	5706494
2020	Mississippi	2961279
2020	Missouri	6154913
2020	Montana	1084225
2020	Nebraska	1961504
2020	Nevada	3104614
2020	New Hampshire	1377529
2020	New Jersey	9288994
2020	New Mexico	2117522
2020	New York	20201249
2020	North Carolina	10439388
2020	North Dakota	779094
2020	Ohio	11799448
2020	Oklahoma	3959353
2020	Oregon	4237256
2020	Pennsylvania	13002700
2020	Rhode Island	1097379
2020	South Carolina	5118425
2020	South Dakota	886667
2020	Tennessee	6910840
2020	Texas	29145505
2020	Utah	3271616
2020	Vermont	643077
2020	Virginia	8631393
2020	Washington	7705281
2020	West Virginia	1793716
2020	Wisconsin	5893718
2020	Wyoming	576851
2010	Alabama	4779736
2010	Alaska	710231
2010	Arizona	6392017
2010	Arkansas	2915918
2010	California	37253956
2010	Colorado	5029196
2010	Connecticut	3574097
2010	Delaware	897934
2010	District of Columbia	601723
2010	Florida	18801310
2010	Georgia	9687653
2010	Hawaii	1360301
2010	Idaho	1567582
2010	Illinois	12830632
2010	Indiana	6483802
2010	Iowa	3046355
2010	Kansas	2853118
2010	Kentucky	4339367
2010	Louisiana	4533372
2010	Maine	1328361
2010	Maryland	5773552
2010	Massachusetts	6547629
2010	Michigan	9883640
2010	Minnesota	5303925
2010	Mississippi	2967297
2010	Missouri	5988927
2010	Montana	989415
2010	Nebraska	1826341
2010	Nevada	2700551
2010	New Hampshire	1316470
2010	New Jersey	8791894
2010	New Mexico	2059179
2010	New York	19378102
2010	North Carolina	9535483
2010	North Dakota	672591
2010	Ohio	11536504
2010	Oklahoma	3751351
2010	Oregon	3831074
2010	Pennsylvania	12702379
2010	Rhode Island	1052567
2010	South Carolina	4625364
2010	South Dakota	814180
2010	Tennessee	6346105
2010	Texas	25145561
2010	Utah	2763885
2010	Vermont	625741
2010	Virginia	8001024
2010	Washington	6724540
2010	West Virginia	1852994
2010	Wisconsin	5686986
2010	Wyoming	563626
2000 	Alabama	4447100
2000	Alaska	626932
2000	Arizona	5130632
2000	Arkansas	2673400
2000	California	33871648
2000	Colorado	4301261
2000	Connecticut	3405565
2000	Delaware	783600
2000	District of Columbia	572059
2000	Florida	15982378
2000	Georgia	8186453
2000	Hawaii	1211537
2000	Idaho	1293953
2000	Illinois	12419293
2000	Indiana	6080485
2000	Iowa	2926324
2000	Kansas	2688418
2000	Kentucky	4041769
2000	Louisiana	4468976
2000	Maine	1274923
2000	Maryland	5296486
2000	Massachusetts	6349097
2000	Michigan	9938444
2000	Minnesota	4919479
2000	Mississippi	2844658
2000	Missouri	5595211
2000	Montana	902195
2000	Nebraska	1711263
2000	Nevada	1998257
2000	New Hampshire	1235786
2000	New Jersey	8414350
2000	New Mexico	1819046
2000	New York	18976457
2000	North Carolina	8049313
2000	North Dakota	642200
2000	Ohio	11353140
2000	Oklahoma	3450654
2000	Oregon	3421399
2000	Pennsylvania	12281054
2000	Rhode Island	1048319
2000	South Carolina	4012012
2000	South Dakota	754844
2000	Tennessee	5689283
2000	Texas	20851820
2000	Utah	2233169
2000	Vermont	608827
2000	Virginia	7078515
2000	Washington	5894121
2000	West Virginia	1808344
2000	Wisconsin	5363675
2000	Wyoming	493782
