alpha	values
0.0518	0
0.0542	0.0101010101010101
0.0533	0.0202020202020202
0.0536	0.0303030303030303
0.0539	0.0404040404040404
0.0512	0.0505050505050505
0.0475	0.0606060606060606
0.0499	0.0707070707070707
0.0504	0.0808080808080808
0.0508	0.0909090909090909
0.0533	0.101010101010101
0.0517	0.111111111111111
0.0503	0.121212121212121
0.0545	0.131313131313131
0.0504	0.141414141414141
0.0525	0.151515151515152
0.0543	0.161616161616162
0.0531	0.171717171717172
0.0491	0.181818181818182
0.0501	0.191919191919192
0.0543	0.202020202020202
0.0497	0.212121212121212
0.0537	0.222222222222222
0.0498	0.232323232323232
0.0517	0.242424242424242
0.0558	0.252525252525253
0.0506	0.262626262626263
0.0528	0.272727272727273
0.0543	0.282828282828283
0.056	0.292929292929293
0.0511	0.303030303030303
0.0532	0.313131313131313
0.0521	0.323232323232323
0.0491	0.333333333333333
0.052	0.343434343434343
0.054	0.353535353535354
0.0545	0.363636363636364
0.0534	0.373737373737374
0.0539	0.383838383838384
0.0551	0.393939393939394
0.0556	0.404040404040404
0.0574	0.414141414141414
0.0543	0.424242424242424
0.0554	0.434343434343434
0.0569	0.444444444444444
0.0552	0.454545454545455
0.052	0.464646464646465
0.0588	0.474747474747475
0.0568	0.484848484848485
0.0555	0.494949494949495
0.0568	0.505050505050505
0.0582	0.515151515151515
0.0574	0.525252525252525
0.0587	0.535353535353535
0.0551	0.545454545454546
0.0548	0.555555555555556
0.062	0.565656565656566
0.0557	0.575757575757576
0.0596	0.585858585858586
0.0609	0.595959595959596
0.0585	0.606060606060606
0.0621	0.616161616161616
0.0597	0.626262626262626
0.0595	0.636363636363636
0.0577	0.646464646464647
0.061	0.656565656565657
0.0596	0.666666666666667
0.0617	0.676767676767677
0.0579	0.686868686868687
0.0576	0.696969696969697
0.0573	0.707070707070707
0.0648	0.717171717171717
0.061	0.727272727272727
0.0619	0.737373737373737
0.0609	0.747474747474748
0.0607	0.757575757575758
0.0654	0.767676767676768
0.0626	0.777777777777778
0.0665	0.787878787878788
0.0667	0.797979797979798
0.0618	0.808080808080808
0.0628	0.818181818181818
0.0664	0.828282828282828
0.0655	0.838383838383838
0.0717	0.848484848484849
0.0664	0.858585858585859
0.0597	0.868686868686869
0.0664	0.878787878787879
0.0637	0.888888888888889
0.0634	0.898989898989899
0.0684	0.909090909090909
0.0669	0.919191919191919
0.0675	0.929292929292929
0.0682	0.939393939393939
0.0659	0.94949494949495
0.066	0.95959595959596
0.0722	0.96969696969697
0.0717	0.97979797979798
0.0723	0.98989898989899
0.0748	1
