alpha	values
0.0648	10
0.0508	15
0.0508	20
0.0479	25
0.0443	30
0.0445	35
0.0445	40
0.0488	45
0.0504	50
0.0503	55
0.0455	59
0.0474	64
0.0507	69
0.05	74
0.0514	79
0.055	84
0.0534	89
0.0518	94
0.0521	99
0.0524	104
0.0511	109
0.0511	114
0.0519	119
0.0518	124
0.0534	129
0.0503	134
0.0504	139
0.0551	144
0.0542	149
0.0539	154
0.0498	158
0.0513	163
0.0503	168
0.0508	173
0.0488	178
0.0516	183
0.0528	188
0.0539	193
0.0519	198
0.0486	203
0.0555	208
0.0553	213
0.0527	218
0.0475	223
0.0523	228
0.0513	233
0.0546	238
0.0527	243
0.0454	248
0.0521	253
0.0521	257
0.055	262
0.0476	267
0.0545	272
0.0516	277
0.0509	282
0.0484	287
0.0536	292
0.0509	297
0.0512	302
0.051	307
0.0485	312
0.0499	317
0.0496	322
0.048	327
0.0467	332
0.0482	337
0.053	342
0.0518	347
0.0519	352
0.0481	356
0.0484	361
0.0497	366
0.0498	371
0.0498	376
0.0492	381
0.0539	386
0.0529	391
0.0532	396
0.0494	401
0.048	406
0.052	411
0.0485	416
0.0497	421
0.05	426
0.0473	431
0.047	436
0.0496	441
0.0508	446
0.0505	451
0.0491	455
0.0492	460
0.0479	465
0.0511	470
0.0499	475
0.0496	480
0.0538	485
0.0494	490
0.045	495
0.0514	500
