alpha	values
0.0488	0
0.0544	0.0202020202020202
0.0513	0.0404040404040404
0.0539	0.0606060606060606
0.0559	0.0808080808080808
0.056	0.101010101010101
0.0636	0.121212121212121
0.0622	0.141414141414141
0.0699	0.161616161616162
0.0693	0.181818181818182
0.0704	0.202020202020202
0.0731	0.222222222222222
0.0771	0.242424242424242
0.0818	0.262626262626263
0.0822	0.282828282828283
0.0857	0.303030303030303
0.0908	0.323232323232323
0.0927	0.343434343434343
0.0952	0.363636363636364
0.106	0.383838383838384
0.1068	0.404040404040404
0.102	0.424242424242424
0.1113	0.444444444444444
0.108	0.464646464646465
0.1112	0.484848484848485
0.1178	0.505050505050505
0.1147	0.525252525252525
0.1225	0.545454545454546
0.121	0.565656565656566
0.1229	0.585858585858586
0.1253	0.606060606060606
0.133	0.626262626262626
0.1279	0.646464646464647
0.1333	0.666666666666667
0.1288	0.686868686868687
0.1223	0.707070707070707
0.1351	0.727272727272727
0.1344	0.747474747474748
0.1396	0.767676767676768
0.1377	0.787878787878788
0.1375	0.808080808080808
0.1398	0.828282828282828
0.1365	0.848484848484849
0.1385	0.868686868686869
0.1394	0.888888888888889
0.1437	0.909090909090909
0.1477	0.929292929292929
0.1436	0.94949494949495
0.1548	0.96969696969697
0.1444	0.98989898989899
0.1521	1.01010101010101
0.1486	1.03030303030303
0.1418	1.05050505050505
0.1487	1.07070707070707
0.1579	1.09090909090909
0.1531	1.11111111111111
0.1509	1.13131313131313
0.1495	1.15151515151515
0.1556	1.17171717171717
0.1561	1.19191919191919
0.1514	1.21212121212121
0.1565	1.23232323232323
0.1577	1.25252525252525
0.1549	1.27272727272727
0.154	1.29292929292929
0.1631	1.31313131313131
0.1624	1.33333333333333
0.1587	1.35353535353535
0.158	1.37373737373737
0.1632	1.39393939393939
0.1689	1.41414141414141
0.1584	1.43434343434343
0.164	1.45454545454545
0.1617	1.47474747474747
0.1685	1.4949494949495
0.1733	1.51515151515152
0.1762	1.53535353535354
0.1662	1.55555555555556
0.1761	1.57575757575758
0.1722	1.5959595959596
0.1794	1.61616161616162
0.1733	1.63636363636364
0.1749	1.65656565656566
0.1764	1.67676767676768
0.1796	1.6969696969697
0.1754	1.71717171717172
0.1778	1.73737373737374
0.18	1.75757575757576
0.1812	1.77777777777778
0.1835	1.7979797979798
0.1844	1.81818181818182
0.1856	1.83838383838384
0.1805	1.85858585858586
0.1858	1.87878787878788
0.1846	1.8989898989899
0.1919	1.91919191919192
0.1994	1.93939393939394
0.1927	1.95959595959596
0.2002	1.97979797979798
0.201	2
