alpha	values
1	0
0.0558	0.0303030303030303
0.0529	0.0606060606060606
0.0481	0.0909090909090909
0.0538	0.121212121212121
0.0525	0.151515151515152
0.0528	0.181818181818182
0.0504	0.212121212121212
0.053	0.242424242424242
0.0516	0.272727272727273
0.0519	0.303030303030303
0.0526	0.333333333333333
0.0565	0.363636363636364
0.0545	0.393939393939394
0.0518	0.424242424242424
0.052	0.454545454545455
0.0534	0.484848484848485
0.0523	0.515151515151515
0.0507	0.545454545454545
0.0504	0.575757575757576
0.0513	0.606060606060606
0.0466	0.636363636363636
0.0479	0.666666666666667
0.0517	0.696969696969697
0.0506	0.727272727272727
0.0539	0.757575757575758
0.0568	0.787878787878788
0.0511	0.818181818181818
0.0527	0.848484848484849
0.0541	0.878787878787879
0.0536	0.909090909090909
0.0504	0.939393939393939
0.0557	0.96969696969697
0.0548	1
0.0544	1.03030303030303
0.0508	1.06060606060606
0.0475	1.09090909090909
0.0536	1.12121212121212
0.0494	1.15151515151515
0.0521	1.18181818181818
0.0504	1.21212121212121
0.0519	1.24242424242424
0.0498	1.27272727272727
0.0538	1.3030303030303
0.0535	1.33333333333333
0.0547	1.36363636363636
0.051	1.39393939393939
0.0513	1.42424242424242
0.0473	1.45454545454545
0.0497	1.48484848484848
0.051	1.51515151515152
0.0506	1.54545454545455
0.0505	1.57575757575758
0.0534	1.60606060606061
0.0525	1.63636363636364
0.0495	1.66666666666667
0.0572	1.6969696969697
0.0548	1.72727272727273
0.0498	1.75757575757576
0.05	1.78787878787879
0.0495	1.81818181818182
0.0517	1.84848484848485
0.0535	1.87878787878788
0.0538	1.90909090909091
0.0534	1.93939393939394
0.0507	1.96969696969697
0.0519	2
0.0493	2.03030303030303
0.0488	2.06060606060606
0.0523	2.09090909090909
0.0533	2.12121212121212
0.0521	2.15151515151515
0.0594	2.18181818181818
0.0538	2.21212121212121
0.054	2.24242424242424
0.0528	2.27272727272727
0.0541	2.3030303030303
0.0493	2.33333333333333
0.055	2.36363636363636
0.0539	2.39393939393939
0.0499	2.42424242424242
0.0492	2.45454545454545
0.053	2.48484848484848
0.0568	2.51515151515152
0.0553	2.54545454545455
0.0573	2.57575757575758
0.0523	2.60606060606061
0.054	2.63636363636364
0.0547	2.66666666666667
0.0544	2.6969696969697
0.049	2.72727272727273
0.053	2.75757575757576
0.0523	2.78787878787879
0.0519	2.81818181818182
0.0526	2.84848484848485
0.0516	2.87878787878788
0.051	2.90909090909091
0.0529	2.93939393939394
0.0543	2.96969696969697
0.0512	3
