alpha	values
0.0533	0.01
0.0501	0.0109090909090909
0.0512	0.0118181818181818
0.0528	0.0127272727272727
0.0508	0.0136363636363636
0.0531	0.0145454545454545
0.0514	0.0154545454545455
0.0529	0.0163636363636364
0.0511	0.0172727272727273
0.0509	0.0181818181818182
0.0499	0.0190909090909091
0.0487	0.02
0.0542	0.0209090909090909
0.0545	0.0218181818181818
0.048	0.0227272727272727
0.0546	0.0236363636363636
0.0488	0.0245454545454545
0.0512	0.0254545454545455
0.0529	0.0263636363636364
0.0487	0.0272727272727273
0.053	0.0281818181818182
0.0541	0.0290909090909091
0.0528	0.03
0.0475	0.0309090909090909
0.051	0.0318181818181818
0.0532	0.0327272727272727
0.0495	0.0336363636363636
0.0523	0.0345454545454545
0.053	0.0354545454545455
0.0537	0.0363636363636364
0.0551	0.0372727272727273
0.0506	0.0381818181818182
0.0526	0.0390909090909091
0.0536	0.04
0.0512	0.0409090909090909
0.05	0.0418181818181818
0.0496	0.0427272727272727
0.0531	0.0436363636363636
0.0514	0.0445454545454546
0.0531	0.0454545454545455
0.0556	0.0463636363636364
0.0531	0.0472727272727273
0.0539	0.0481818181818182
0.0528	0.0490909090909091
0.0526	0.05
0.0521	0.0509090909090909
0.0522	0.0518181818181818
0.0505	0.0527272727272727
0.049	0.0536363636363636
0.0491	0.0545454545454545
0.0566	0.0554545454545455
0.0484	0.0563636363636364
0.0553	0.0572727272727273
0.0562	0.0581818181818182
0.0473	0.0590909090909091
0.0531	0.06
0.0502	0.0609090909090909
0.0505	0.0618181818181818
0.0512	0.0627272727272727
0.0507	0.0636363636363636
0.0512	0.0645454545454545
0.0525	0.0654545454545455
0.0533	0.0663636363636364
0.0563	0.0672727272727273
0.0562	0.0681818181818182
0.048	0.0690909090909091
0.0514	0.07
0.0494	0.0709090909090909
0.0524	0.0718181818181818
0.0498	0.0727272727272727
0.0534	0.0736363636363636
0.0588	0.0745454545454546
0.0517	0.0754545454545455
0.0528	0.0763636363636364
0.0517	0.0772727272727273
0.0501	0.0781818181818182
0.0506	0.0790909090909091
0.0521	0.08
0.05	0.0809090909090909
0.0526	0.0818181818181818
0.0534	0.0827272727272727
0.0507	0.0836363636363636
0.0494	0.0845454545454545
0.0506	0.0854545454545455
0.0524	0.0863636363636364
0.0529	0.0872727272727273
0.0511	0.0881818181818182
0.0487	0.0890909090909091
0.0525	0.09
0.0501	0.0909090909090909
0.0524	0.0918181818181818
0.0561	0.0927272727272727
0.0496	0.0936363636363636
0.0511	0.0945454545454545
0.0563	0.0954545454545455
0.054	0.0963636363636364
0.0492	0.0972727272727273
0.0539	0.0981818181818182
0.0519	0.0990909090909091
0.0481	0.1
